frame,time,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right
1,1749037937.15,0.02,False,200,0.00,0.00,0.00
2,1749037937.19,0.03,False,200,1.32,0.65,0.73
3,1749037937.23,0.06,False,200,245.97,175.74,143.18
4,1749037937.28,0.12,False,200,422.23,328.40,268.28
5,1749037937.32,0.36,False,200,515.67,347.07,346.77
6,1749037937.35,0.60,False,200,509.38,375.33,391.05
7,1749037937.39,0.84,False,200,379.12,328.49,333.68
8,1749037937.42,1.06,False,200,259.94,248.55,245.19
9,1749037937.45,1.21,False,200,177.28,195.60,185.20
10,1749037937.49,1.35,False,200,102.39,125.96,114.40
11,1749037937.52,1.45,False,200,80.77,76.34,74.30
12,1749037937.55,1.53,False,200,82.68,49.05,62.46
13,1749037937.59,1.61,False,200,106.06,52.94,76.65
14,1749037937.62,1.67,False,200,121.56,66.37,89.80
15,1749037937.65,1.73,False,200,142.91,79.84,109.67
16,1749037937.69,1.80,False,200,164.67,98.35,129.51
17,1749037937.72,1.86,False,200,171.26,103.79,135.16
18,1749037937.75,1.92,False,200,197.62,123.46,158.36
19,1749037937.79,1.98,False,200,201.15,123.93,159.10
20,1749037937.82,2.04,False,200,207.78,129.69,162.70
21,1749037937.87,2.12,False,200,197.10,119.83,151.81
22,1749037937.91,2.19,False,200,223.07,127.89,163.33
23,1749037937.94,2.25,False,200,218.96,123.13,157.92
24,1749037937.97,2.31,False,200,247.68,136.03,177.36
25,1749037938.01,2.38,False,200,240.20,131.27,169.69
26,1749037938.04,2.44,False,200,247.89,130.45,170.64
27,1749037938.08,2.50,False,200,246.52,126.51,165.64
28,1749037938.11,2.56,False,200,242.60,123.63,161.63
29,1749037938.14,2.61,False,200,261.64,127.63,168.21
30,1749037938.18,2.67,True,200,246.38,119.05,158.90
31,1749037939.22,0.98,True,200,141.53,87.91,93.02
32,1749037940.26,0.21,True,200,87.19,62.92,54.26
33,1749037941.30,0.05,True,200,48.73,35.82,31.93
34,1749037942.33,0.01,True,200,25.70,19.05,17.13
35,1749037943.38,0.00,True,200,13.26,9.83,8.89
36,1749037944.42,0.00,False,200,6.86,5.09,4.60
37,1749037945.46,0.00,False,200,3.58,2.67,2.41
38,1749037946.50,0.00,False,200,1.96,1.46,1.29
39,1749037947.54,0.00,False,200,1.14,0.86,0.74
40,1749037948.58,0.00,False,200,0.73,0.51,0.48
41,1749037948.61,0.00,True,200,1.76,3.10,1.81
42,1749037949.65,0.03,True,200,2.38,2.28,1.84
43,1749037950.84,0.01,True,200,1.97,1.74,1.60
44,1749037951.91,0.00,True,200,1.30,1.17,1.06
